id,imaging_depth,targeted_structure,cre_line,reporter_line,donor_name,specimen_name,tags,failed
511510917,175,VISl,Cux2-CreERT2,Ai93(TITL-GCaMP6f),229107,Cux2-CreERT2;Camk2a-tTA;Ai93-229107,[],False
902748650,375,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),456917,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-456917,[],False
829561794,375,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),431252,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-431252,[],False
595273801,375,VISam,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),309841,Rbp4-Cre_KL100;Camk2a-tTA;Ai93-309841,[],False
603519606,275,VISpm,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),323538,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-323538,[],False
662351162,175,VISrl,Cux2-CreERT2,Ai93(TITL-GCaMP6f),360566,Cux2-CreERT2;Camk2a-tTA;Ai93-360566,[],False
511510860,275,VISal,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),228786,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-228786,[],False
555700037,175,VISal,Cux2-CreERT2,Ai93(TITL-GCaMP6f),273576,Cux2-CreERT2;Camk2a-tTA;Ai93-273576,[],False
650389951,175,VISpm,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),354499,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-354499,[],False
650390040,275,VISl,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),350509,Vip-IRES-Cre;Ai148-350509,[],False
657775945,175,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),355670,Vip-IRES-Cre;Ai148-355670,[],False
989461845,275,VISp,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),485688,Sst-IRES-Cre;Ai148-485688,[],False
582925971,350,VISp,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),297504,Sst-IRES-Cre;Ai148(CAM)-297504,[],False
957361481,375,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),479458,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-479458,[],False
556936291,275,VISal,Cux2-CreERT2,Ai93(TITL-GCaMP6f),273576,Cux2-CreERT2;Camk2a-tTA;Ai93-273576,[],False
637115672,375,VISp,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),335039,Rbp4-Cre_KL100;Camk2a-tTA;Ai93-335039,[],False
637113170,350,VISal,Nr5a1-Cre,Ai93(TITL-GCaMP6f),337438,Nr5a1-Cre;Camk2a-tTA;Ai93-337438,[],False
676503586,275,VISp,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),373762,Pvalb-IRES-Cre;Ai162-373762,[],False
616886391,400,VISp,Fezf2-CreER,Ai148(TIT2L-GC6f-ICL-tTA2),335660,Fezf2-CreER;Ai148(CAM)-335660,[],False
596557967,275,VISpm,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),315118,Sst-IRES-Cre;Ai148(CAM)-315118,[],False
582804903,375,VISp,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),297135,Sst-IRES-Cre;Ai148(CAM)-297135,[],False
593508592,175,VISrl,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f),311728,Emx1-IRES-Cre;Camk2a-tTA;Ai93-311728,[],False
673914979,275,VISp,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),369497,Pvalb-IRES-Cre;Ai162-369497,[],False
603425657,275,VISpm,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),323528,Sst-IRES-Cre;Ai148(CAM)-323528,[],False
511510658,375,VISpm,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),226219,Rbp4-Cre;Camk2a-tTA;Ai93-226219,[],False
674679297,200,VISp,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),373762,Pvalb-IRES-Cre;Ai162-373762,[],False
712178481,275,VISp,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),388804,Pvalb-IRES-Cre;Ai162-388804,[],False
549855418,350,VISpm,Nr5a1-Cre,Ai93(TITL-GCaMP6f),261969,Nr5a1-Cre;Camk2a-tTA;Ai93-261969,[],False
511856567,275,VISal,Cux2-CreERT2,Ai93(TITL-GCaMP6f),231585,Cux2-CreERT2;Camk2a-tTA;Ai93-231585,[],False
667772494,175,VISp,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),369498,Pvalb-IRES-Cre;Ai162-369498,[],False
